name,estimated_diameter_meters,close_approach_date,relative_velocity_kmh,miss_distance_km
(2024 RC5),73.3229583026,2024-10-01,23821.0318961745,14387206.822334273
(2024 RU9),53.0688869261,2024-10-01,31576.7208099428,9441528.422067252
(2024 RN15),51.5276075896,2024-10-01,25945.8311000314,3208998.62732997
(2024 RH45),61.2406763947,2024-10-01,29397.3967867674,1918176.785711613
(2024 SJ1),27.4814712085,2024-10-01,38277.5973926537,5819249.716769553
(2024 SY1),37.9175247376,2024-10-01,52238.6470247166,9272439.161348999
(2005 EU95),401.8277992159,2024-10-02,82934.7498766454,45176406.180860028
(2008 TF),248.908643942,2024-10-02,99071.703846194,52444306.828130439
(2009 UP1),610.9982674756,2024-10-02,73162.81420781,60790227.768123972
(2015 YA),19.6806745089,2024-10-02,32103.2157663524,39526426.468955262
(2017 TB1),65.1688382168,2024-10-02,41127.7857693538,36699970.688514962
(2019 OK),130.0289270043,2024-10-02,83871.4085777268,73676341.692795064
(2022 UF4),73.4581486599,2024-10-02,35983.6781672347,54848747.825129237
(2023 TN),66.9946278168,2024-10-02,62354.1912634253,29931828.324480837
(2024 RO2),61.4101246306,2024-10-02,33068.0431511422,1608167.438477598
(2024 RJ16),40.12730369,2024-10-02,24940.2031358932,6957943.644331109
(2024 SS),42.1347070526,2024-10-02,27018.3934559408,2190472.853993729
(2024 RM46),51.7416148382,2024-10-02,15644.5296564239,17065417.830548936
(2024 SV),40.5172516478,2024-10-02,22323.3311201667,7700131.93300761
